"Brand","Model","Path"
"BAJAJ","AVENGER  150, 180 ,200","imges\MODELS\AVENGER.JPG"
"BAJAJ","DISCOVER 135, 150","imges\MODELS\DISCOVER.JPG"
"BAJAJ","PLATINA  ","imges\MODELS\PLATINA.JPG"
"BAJAJ","PULSAR 150","imges\MODELS\PULSAR.JPG"
"BAJAJ","VIKRANTH","imges\MODELS\VIKRANTH.JPG"
"KTM","KTM","imges\MODELS\KTM.JPG"
"ROYAL ENFIELD","ROYAL ENFIELD","static\imges\MODELS\RE.JPG"
"KAWASAKI","KAWASAKI","imges\MODELS\KAWASAKI.JPG"
"HERO","HF DELUXE","imges\MODELS\HF.DELUXE.JPG"
"HERO","CBZ   XTREME","imges\MODELS\CBZ XTREME.JPG"
"HERO","GLAMOUR","imges\MODELS\GLAMOUR.JPG"
"HERO","SPLENDOR","imges\MODELS\SPLENDOR.JPG"
"HERO","PASSION","imges\MODELS\PASSION.JPG"
"HONDA","CBR","imges\MODELS\CBR.JPG"
"HONDA","SHINE","imges\MODELS\SHINE.JPG"
